Reference;Name;Category;Short description;Size;Color;Structure;Price/UAH;Price/RUB;Price/USD;URL;Images;
BZ-1530E;Блуза "Louise" BZ-1530E;Блузки;Длина по спинке - 70 смДлина по переду - 54 смДлина рукава - 21 см;42,46,48,50,52,54,56;электрик;креп-шифон;181;523;8.87;https://niko-opt.com/bluzki/1684-bluza-louise-bz-1530e.html;http://niko-opt.com/5884-large_default/bluza-louise-bz-1530e.jpg,;
BZ-1530F;Блуза "Louise" BZ-1530F;Блузки;Длина по спинке: 70 смДлина по переду: 54 смДлина рукава: 21 см;44,46,48,50,52,54,56;бежевый;креп-шифон;181;523;8.87;https://niko-opt.com/bluzki/1665-bluza-louise-bz-1530f.html;http://niko-opt.com/5842-large_default/bluza-louise-bz-1530f.jpg,;
BZ-1530G;Блуза "Louise" BZ-1530G;Блузки;Длина по спинке - 70 смДлина по переду - 54 смДлина рукава - 21 см;42,44,46,48,50,52,54,56;бордовый;креп-шифон;181;523;8.87;https://niko-opt.com/bluzki/1683-bluza-louise-bz-1530g.html;http://niko-opt.com/5883-large_default/bluza-louise-bz-1530g.jpg,;
BZ-1530H;Блуза "Louise" BZ-1530H;Блузки;Длина по спинке - 70 смДлина по переду - 54 смДлина рукава - 21 см;46,48,50,52,54,56;темно-синий;креп-шифон;181;523;8.87;https://niko-opt.com/bluzki/1908-bluza-louise-bz-1530h.html;http://niko-opt.com/6803-large_default/bluza-louise-bz-1530h.jpg,;
BZ-1489A;Блуза "Maya" BZ-1489A;Блузки;Длина по спинке: 65 см;42,44,46,48;бежевый;креп-шифон;182;525;8.91;https://niko-opt.com/bluzki/1547-bluza-maya-bz-1489a.html;http://niko-opt.com/5552-large_default/bluza-maya-bz-1489a.jpg,;
BZ-1489B;Блуза "Maya" BZ-1489B;Блузки;Длина по спинке: 65 см;42,44,46,48;голубой;креп-шифон;182;525;8.91;https://niko-opt.com/bluzki/1548-bluza-maya-bz-1489b.html;http://niko-opt.com/5554-large_default/bluza-maya-bz-1489b.jpg,;
BZ-1489C;Блуза "Maya" BZ-1489C;Блузки;Длина по спинке: 65 см;42,44,46,48;белый;креп-шифон;182;525;8.91;https://niko-opt.com/bluzki/1549-bluza-maya-bz-1489c.html;http://niko-opt.com/5556-large_default/bluza-maya-bz-1489c.jpg,;
BZ-1489D;Блуза "Maya" BZ-1489D;Блузки;Длина по спинке: 65 см;42,44,46,48;розовый;креп-шифон;182;525;8.91;https://niko-opt.com/bluzki/1550-bluza-maya-bz-1489d.html;http://niko-opt.com/5558-large_default/bluza-maya-bz-1489d.jpg,;
BZ-1489E;Блуза "Maya" BZ-1489E;Блузки;Длина по спинке: 65 см;42,44,46,48;ментол;креп-шифон;182;525;8.91;https://niko-opt.com/bluzki/1551-bluza-maya-bz-1489e.html;http://niko-opt.com/5560-large_default/bluza-maya-bz-1489e.jpg,;
BZ-1456A;Блуза "Michelle" BZ-1456A;Блузки;Длина по спинке: 65 смДлина по полочке: 58 смДлина рукава: 62 см;42,44,46,48;черный;креп-шифон;209;593;10.09;https://niko-opt.com/bluzki/1402-bluza-michelle-bz-1456a.html;http://niko-opt.com/5233-large_default/bluza-michelle-bz-1456a.jpg,;
